date,potential_water_deficit
2008-07-02,1.3429
2008-07-03,11.9629
2008-07-04,-0.8638
2008-07-05,-4.3285
2008-07-06,-0.7818
2008-07-07,5.7133
2008-07-08,-3.4982
2008-07-09,7.1647
2008-07-10,9.5787
2008-07-11,3.6984
2008-07-12,0.1523
2008-07-13,9.2072
2008-07-14,5.8976
2008-07-15,0.4203
2008-07-16,4.8018
2008-07-17,1.156
2008-07-18,10.9156
2008-07-19,4.2709
2008-07-20,-1.853
2008-07-21,-0.2119
2008-07-22,-1.2562
2008-07-23,4.3476
2008-07-24,12.392
2008-07-25,-1.7465
2008-07-26,2.836
2008-07-27,-1.1621
2008-07-28,6.6419
2008-07-29,5.8778
2008-07-30,6.3987
2008-07-31,0.7801
2008-08-01,-0.9222
2008-08-02,2.4101
2008-08-03,8.294
2008-08-04,4.7903
2008-08-05,6.5167
2008-08-06,4.3986
2008-08-07,5.4266
2008-08-08,-2.1554
2008-08-09,-0.2308
2008-08-10,1.5973
2008-08-11,0.8952
2008-08-12,6.3566
2008-08-13,-2.1054
2008-08-14,-4.1739
2008-08-15,4.5987
2008-08-16,10.0359
2008-08-17,4.018
2008-08-18,0.7751
2008-08-19,2.6772
2008-08-20,13.3971
2008-08-21,-2.2974
2008-08-22,-2.8314
2008-08-23,-3.5424
2008-08-24,0.9029
2008-08-25,4.5538
2008-08-26,-4.0844
2008-08-27,4.0537
2008-08-28,1.3571
2008-08-29,-1.8924
2008-08-30,-1.216
2008-08-31,2.1175
2008-09-01,-1.4714
2008-09-02,0.7606
2008-09-03,5.9678
2008-09-04,-3.6145
2008-09-05,7.5284
2008-09-06,-1.5822
2008-09-07,-1.1319
2008-09-08,0.2232
2008-09-09,-2.6318
2008-09-10,-1.2067
2008-09-11,5.9473
2008-09-12,11.4322
2008-09-13,-2.6319
2008-09-14,-1.0141
2008-09-15,-2.6394
2008-09-16,5.5681
2008-09-17,-0.4806
2008-09-18,-0.0369
2008-09-19,-4.5273
2008-09-20,0.1438
2008-09-21,-3.5413
2008-09-22,-3.5394
2008-09-23,-4.6113
2008-09-24,-1.8253
2008-09-25,1.4012
2008-09-26,-1.9406
2008-09-27,-4.6965
2008-09-28,-5.4416
2008-09-29,-2.0245
2008-09-30,7.5823
2008-10-01,-1.0559
2008-10-02,-4.3846
2008-10-03,1.0864
2008-10-04,-2.0168
2008-10-05,5.4185
2008-10-06,-3.8364
2008-10-07,-3.2457
2008-10-08,-0.3839
2008-10-09,6.2771
2008-10-10,-3.5177
2008-10-11,-3.5944
2008-10-12,-3.3545
2008-10-13,17.0638
2008-10-14,1.9128
2008-10-15,-4.5326
2008-10-16,-1.2138
2008-10-17,1.3072
2008-10-18,-3.9671
2008-10-19,-4.6637
2008-10-20,0.9219
2008-10-21,-2.1174
2008-10-22,-3.0144
2008-10-23,-3.7239
2008-10-24,-4.294
2008-10-25,-4.3925
2008-10-26,-4.2408
2008-10-27,-4.8282
2008-10-28,-3.6093
2008-10-29,-4.5287
2008-10-30,-5.01
2008-10-31,-5.2078
2009-07-01,-0.578
2009-07-02,-1.4317
2009-07-03,-2.9057
2009-07-04,2.9443
2009-07-05,-2.0895
2009-07-06,-1.0327
2009-07-07,0.6725
2009-07-08,4.9093
2009-07-09,-0.7791
2009-07-10,0.4053
2009-07-11,-2.0439
2009-07-12,-4.5916
2009-07-13,-4.4757
2009-07-14,-4.2898
2009-07-15,-4.2533
2009-07-16,-3.9596
2009-07-17,2.6682
2009-07-18,18.4085
2009-07-19,-3.1601
2009-07-20,-3.1575
2009-07-21,-1.0268
2009-07-22,5.4062
2009-07-23,-0.5488
2009-07-24,-1.5583
2009-07-25,8.3204
2009-07-26,0.9624
2009-07-27,0.5943
2009-07-28,7.154
2009-07-29,-3.5256
2009-07-30,-4.5975
2009-07-31,-2.5324
2009-08-01,5.269
2009-08-02,-0.9803
2009-08-03,-0.8088
2009-08-04,-3.3035
2009-08-05,-4.4655
2009-08-06,4.5673
2009-08-07,7.7739
2009-08-08,-0.6516
2009-08-09,-0.4061
2009-08-10,4.3425
2009-08-11,-3.1716
2009-08-12,-1.5409
2009-08-13,-1.5907
2009-08-14,1.1645
2009-08-15,-2.0027
2009-08-16,8.3383
2009-08-17,-2.8253
2009-08-18,-2.9593
2009-08-19,11.6014
2009-08-20,-0.0133
2009-08-21,-4.0753
2009-08-22,7.2158
2009-08-23,5.9972
2009-08-24,2.9331
2009-08-25,0.5151
2009-08-26,-2.7861
2009-08-27,-3.6222
2009-08-28,-2.7924
2009-08-29,-3.3166
2009-08-30,-3.7643
2009-08-31,-0.2371
2009-09-01,-0.6764
2009-09-02,4.7217
2009-09-03,2.2275
2009-09-04,-3.5634
2009-09-05,-1.6184
2009-09-06,0.9002
2009-09-07,12.5304
2009-09-08,0.2182
2009-09-09,-2.0697
2009-09-10,1.8823
2009-09-11,1.9831
2009-09-12,-3.7218
2009-09-13,-3.422
2009-09-14,-0.2711
2009-09-15,6.3498
2009-09-16,1.9357
2009-09-17,3.1385
2009-09-18,3.9729
2009-09-19,1.2618
2009-09-20,-4.0293
2009-09-21,-0.5647
2009-09-22,-2.1024
2009-09-23,-3.5181
2009-09-24,-4.5711
2009-09-25,0.1945
2009-09-26,-2.3211
2009-09-27,-2.0262
2009-09-28,1.455
2009-09-29,2.9372
2009-09-30,-1.1581
